id;preparacao;energia;proteina;lipidios; carboidrato;fibra;colesterol;acucartotal;acucaradicao;calcio;magnesio;ferro;sodio;sodioadicao;potassio;vitamina_a;tiamina;vitamina_d;vitamina_e;vitamina_c
8101005;99;541;37,04;41,78;1,43;0;110;0,59;1,43;11;33;1,44;2310;0;565;11;0,4;0,7;0,31;0
8101101;2;206,14;16,19;9,71;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,2;0,6
8101101;3;206,14;16,19;9,71;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,2;0,6
8101101;4;206,14;16,19;9,71;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,2;0,6
8101101;5;266,67;16,19;16,55;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,76;0,6
8101101;6;266,67;16,19;16,55;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,76;0,6
8101101;99;206,14;16,19;9,71;12,64;0,61;44,34;2,85;1,1;71,17;20,85;1,26;121,92;197;197,35;19,74;0,18;0,59;0,2;0,6
8102101;1;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;2;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;3;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;4;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;5;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;7;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;8;289,43;8,56;26,1;4,74;0,04;49,19;3,56;2,88;36,07;8,94;0,72;960,69;0;117,1;31,47;0,09;0,48;0,18;0
8102101;9;321,6;11,3;29,04;3,24;0,3;56,8;1,92;2,16;10,6;12,8;1,11;748,8;0;217,4;3,48;0,29;0,56;0,46;1,4
8102101;10;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;11;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;13;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102101;99;321,05;9,72;29,51;3,61;0;52,95;3,15;3,61;16,49;8,28;0,81;1174,71;0;108,81;12,99;0,08;0,32;0,14;0
8102204;1;396;13,8;36,25;2,7;0;71;1,34;2,7;10;12;1,13;805;0;189;0;0,36;0,7;0,22;0
